Code_Tambon,TB_NAME,AMP_CODE,AMP_NAME,PRV_CODE,PRV_NAME,REG_CODE,REG_NAME,Sum of AREA (Sq.m)
2201005,ต.เกษตรสุวรรณ,22010,อ.บ่อทอง,220,จ.ชลบุรี,2,ภาคกลาง,2013081.162
2201006,ต.พลวงทอง,22010,อ.บ่อทอง,220,จ.ชลบุรี,2,ภาคกลาง,2980148.976
2201101,ต.เกาะจันทร์,22011,กิ่งอ.เกาะจันทร์,220,จ.ชลบุรี,2,ภาคกลาง,14062401.5
2220802,ต.ขุนซ่อง,22208,อ.แก่งหางแมว,222,จ.จันทบุรี,2,ภาคกลาง,897191.2733
2220804,ต.พวา,22208,อ.แก่งหางแมว,222,จ.จันทบุรี,2,ภาคกลาง,977866.8385
2240201,ต.บางคล้า,22402,อ.บางคล้า,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,4075868.043
2240204,ต.บางสวน,22402,อ.บางคล้า,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,39216.33439
2240208,ต.บางกระเจ็ด,22402,อ.บางคล้า,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,47002768.35
2240209,ต.ปากน้ำ,22402,อ.บางคล้า,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,32245101.79
2240210,ต.ท่าทองหลาง,22402,อ.บางคล้า,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,19661387.6
2240212,ต.เสม็ดเหนือ,22402,อ.บางคล้า,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,1589544.434
2240214,ต.หัวไทร,22402,อ.บางคล้า,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,36154029.52
2240302,ต.บางขนาก,22403,อ.บางน้ำเปรี้ยว,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,3331625.907
2240307,ต.โยธะกา,22403,อ.บางน้ำเปรี้ยว,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,1761215.571
2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,103928862.5
2240602,ต.บ้านซ่อง,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,56737054.51
2240603,ต.พนมสารคาม,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,14687386.31
2240604,ต.เมืองเก่า,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,20662413.67
2240605,ต.หนองยาว,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,55527685.89
2240606,ต.ท่าถ่าน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,14054784.14
2240607,ต.หนองแหน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,62165944.41
2240608,ต.เขาหินซ้อน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,174084843.8
2240701,ต.บางคา,22407,อ.ราชสาส์น,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,39742525.44
2240702,ต.เมืองใหม่,22407,อ.ราชสาส์น,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,48943842.87
2240703,ต.ดงน้อย,22407,อ.ราชสาส์น,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,66164447.57
2240801,ต.คู้ยายหมี,22408,อ.สนามชัยเขต,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,113547546
2240802,ต.ท่ากระดาน,22408,อ.สนามชัยเขต,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,416778780.4
2240803,ต.ทุ่งพระยา,22408,อ.สนามชัยเขต,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,168222329.7
2240805,ต.ลาดกระทิง,22408,อ.สนามชัยเขต,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,239658996.7
2240901,ต.แปลงยาว,22409,อ.แปลงยาว,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,28986575.08
2240903,ต.หัวสำโรง,22409,อ.แปลงยาว,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,61641950.15
2240904,ต.หนองไม้แก่น,22409,อ.แปลงยาว,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,41692106.25
2241001,ต.ท่าตะเกียบ,22410,อ.ท่าตะเกียบ,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,510493312.4
2241002,ต.คลองตะเกรา,22410,อ.ท่าตะเกียบ,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,903709922.9
2241101,ต.ก้อนแก้ว,22411,กิ่งอ.คลองเขื่อน,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,341097.6237
2241102,ต.คลองเขื่อน,22411,กิ่งอ.คลองเขื่อน,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,18418770.08
2241104,ต.บางโรง,22411,กิ่งอ.คลองเขื่อน,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,4464928.167
2241105,ต.บางตลาด,22411,กิ่งอ.คลองเขื่อน,224,จ.ฉะเชิงเทรา,2,ภาคกลาง,10798125.39
2250208,ต.ลาดตะเคียน,22502,อ.กบินทร์บุรี,225,จ.ปราจีนบุรี,2,ภาคกลาง,527049.4885
2250213,ต.เขาไม้แก้ว,22502,อ.กบินทร์บุรี,225,จ.ปราจีนบุรี,2,ภาคกลาง,39776.5746
2250214,ต.วังท่าช้าง,22502,อ.กบินทร์บุรี,225,จ.ปราจีนบุรี,2,ภาคกลาง,3308444.705
2250601,ต.บ้านสร้าง,22506,อ.บ้านสร้าง,225,จ.ปราจีนบุรี,2,ภาคกลาง,46994.36223
2250602,ต.บางกระเบา,22506,อ.บ้านสร้าง,225,จ.ปราจีนบุรี,2,ภาคกลาง,384987.6966
2250603,ต.บางเตย,22506,อ.บ้านสร้าง,225,จ.ปราจีนบุรี,2,ภาคกลาง,14672490.41
2250604,ต.บางยาง,22506,อ.บ้านสร้าง,225,จ.ปราจีนบุรี,2,ภาคกลาง,22156570.73
2250605,ต.บางแตน,22506,อ.บ้านสร้าง,225,จ.ปราจีนบุรี,2,ภาคกลาง,35341991.94
2250606,ต.บางพลวง,22506,อ.บ้านสร้าง,225,จ.ปราจีนบุรี,2,ภาคกลาง,2940272.424
2250607,ต.บางปลาร้า,22506,อ.บ้านสร้าง,225,จ.ปราจีนบุรี,2,ภาคกลาง,29686937.38
2250608,ต.บางขาม,22506,อ.บ้านสร้าง,225,จ.ปราจีนบุรี,2,ภาคกลาง,37976293.52
2250609,ต.กระทุ่มแพ้ว,22506,อ.บ้านสร้าง,225,จ.ปราจีนบุรี,2,ภาคกลาง,31736214.84
2250801,ต.ศรีมหาโพธิ,22508,อ.ศรีมหาโพธิ์,225,จ.ปราจีนบุรี,2,ภาคกลาง,23321307.51
2250807,ต.หนองโพรง,22508,อ.ศรีมหาโพธิ์,225,จ.ปราจีนบุรี,2,ภาคกลาง,10008086.46
2250808,ต.หัวหว้า,22508,อ.ศรีมหาโพธิ์,225,จ.ปราจีนบุรี,2,ภาคกลาง,6549052.242
2250810,ต.กรอกสมบูรณ์,22508,อ.ศรีมหาโพธิ์,225,จ.ปราจีนบุรี,2,ภาคกลาง,16389266.69
2250901,ต.โคกปีบ,22509,อ.ศรีมโหสถ,225,จ.ปราจีนบุรี,2,ภาคกลาง,27063333.26
2250902,ต.โคกไทย,22509,อ.ศรีมโหสถ,225,จ.ปราจีนบุรี,2,ภาคกลาง,41626959.19
2250904,ต.ไผ่ชะเลือด,22509,อ.ศรีมโหสถ,225,จ.ปราจีนบุรี,2,ภาคกลาง,6240171.3
2270406,ต.ทุ่งมหาเจริญ,22704,อ.วังน้ำเย็น,227,จ.สระแก้ว,2,ภาคกลาง,47457.15234
2270902,ต.วังใหม่,22709,กิ่งอ.วังสมบูรณ์,227,จ.สระแก้ว,2,ภาคกลาง,2493824.99